epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,781.089,1.92457,2.07901,1.42133,0.50132,0.28462,0.26696,0.13122,1.54095,1.6169,1.13869,0.000222095,0.000222095,0.000222095
2,1553.95,1.56998,1.13772,1.17201,0.65233,0.36191,0.39394,0.19915,1.46801,1.31011,1.09059,0.00040043,0.00040043,0.00040043
3,2322.75,1.52034,1.0044,1.14473,0.70719,0.40496,0.43837,0.22175,1.44846,1.18976,1.09016,0.000534743,0.000534743,0.000534743
4,3042.11,1.49017,0.94511,1.13468,0.77191,0.42842,0.49366,0.25915,1.40841,1.15669,1.06938,0.000468901,0.000468901,0.000468901
5,3755.06,1.45897,0.90045,1.11791,0.75783,0.46271,0.53532,0.28079,1.3985,1.07141,1.06065,0.000402868,0.000402868,0.000402868
6,4463.47,1.43396,0.86722,1.10926,0.72483,0.50878,0.55932,0.29971,1.35968,1.10311,1.04227,0.000336835,0.000336835,0.000336835
7,5170.47,1.41484,0.83818,1.0997,0.76619,0.52135,0.5911,0.31492,1.34323,1.03687,1.03654,0.000270802,0.000270802,0.000270802
8,5878.97,1.3981,0.81558,1.09283,0.77486,0.53005,0.60362,0.32872,1.3292,0.94363,1.03091,0.000204769,0.000204769,0.000204769
9,6589.38,1.37968,0.79356,1.08444,0.8063,0.53578,0.62268,0.33864,1.31492,0.90842,1.02432,0.000138736,0.000138736,0.000138736
10,7294.79,1.36603,0.77733,1.0789,0.79905,0.5511,0.63042,0.34603,1.30616,0.87896,1.02091,7.2703e-05,7.2703e-05,7.2703e-05
